2007/01/01,096001,27,38,09,11,28," ",09,11,27,28,38
2007/01/02,096002,33,02,37,12,36," ",02,12,33,36,37
2007/01/03,096003,23,22,30,29,27," ",22,23,27,29,30
2007/01/04,096004,23,39,32,09,03," ",03,09,23,32,39
2007/01/05,096005,26,13,12,09,15," ",09,12,13,15,26
2007/01/08,096006,11,24,13,08,39," ",08,11,13,24,39
2007/01/09,096007,08,17,28,14,05," ",05,08,14,17,28
2007/01/10,096008,34,05,30,38,35," ",05,30,34,35,38
2007/01/11,096009,37,15,18,20,07," ",07,15,18,20,37
2007/01/12,096010,26,23,21,06,33," ",06,21,23,26,33
2007/01/15,096011,15,13,20,25,01," ",01,13,15,20,25
2007/01/16,096012,27,06,13,31,32," ",06,13,27,31,32
2007/01/17,096013,30,27,26,11,25," ",11,25,26,27,30
2007/01/18,096014,22,28,10,20,15," ",10,15,20,22,28
2007/01/19,096015,21,17,10,11,38," ",10,11,17,21,38
2007/01/22,096016,10,13,15,39,28," ",10,13,15,28,39
2007/01/23,096017,17,39,30,24,07," ",07,17,24,30,39
2007/01/24,096018,15,34,23,04,03," ",03,04,15,23,34
2007/01/25,096019,10,24,08,14,21," ",08,10,14,21,24
2007/01/26,096020,36,10,06,37,08," ",06,08,10,36,37
2007/01/29,096021,17,03,38,11,08," ",03,08,11,17,38
2007/01/30,096022,15,10,27,12,05," ",05,10,12,15,27
2007/01/31,096023,15,03,04,34,29," ",03,04,15,29,34
2007/02/01,096024,18,36,25,26,13," ",13,18,25,26,36
2007/02/02,096025,06,12,11,35,15," ",06,11,12,15,35
2007/02/05,096026,16,19,03,31,20," ",03,16,19,20,31
2007/02/06,096027,39,29,02,13,14," ",02,13,14,29,39
2007/02/07,096028,07,11,23,32,35," ",07,11,23,32,35
2007/02/08,096029,10,31,39,05,37," ",05,10,31,37,39
2007/02/09,096030,20,25,27,16,07," ",07,16,20,25,27
2007/02/12,096031,34,15,23,13,16," ",13,15,16,23,34
2007/02/13,096032,28,02,34,22,29," ",02,22,28,29,34
2007/02/14,096033,28,23,20,15,01," ",01,15,20,23,28
2007/02/15,096034,33,28,06,27,24," ",06,24,27,28,33
2007/02/16,096035,32,28,37,29,24," ",24,28,29,32,37
2007/02/19,096036,24,34,09,37,12," ",09,12,24,34,37
2007/02/20,096037,04,36,31,06,17," ",04,06,17,31,36
2007/02/21,096038,20,18,08,34,32," ",08,18,20,32,34
2007/02/22,096039,09,20,17,21,37," ",09,17,20,21,37
2007/02/23,096040,19,09,12,25,16," ",09,12,16,19,25
2007/02/26,096041,23,25,06,20,28," ",06,20,23,25,28
2007/02/27,096042,19,09,12,34,23," ",09,12,19,23,34
2007/02/28,096043,38,21,22,11,09," ",09,11,21,22,38
2007/03/01,096044,03,18,31,02,12," ",02,03,12,18,31
2007/03/02,096045,22,33,07,23,37," ",07,22,23,33,37
2007/03/05,096046,21,25,05,19,11," ",05,11,19,21,25
2007/03/06,096047,17,34,12,19,16," ",12,16,17,19,34
2007/03/07,096048,02,34,12,30,19," ",02,12,19,30,34
2007/03/08,096049,20,31,07,34,11," ",07,11,20,31,34
2007/03/09,096050,31,30,02,38,17," ",02,17,30,31,38
2007/03/12,096051,25,38,27,08,15," ",08,15,25,27,38
2007/03/13,096052,16,09,18,22,06," ",06,09,16,18,22
2007/03/14,096053,39,06,16,37,09," ",06,09,16,37,39
2007/03/15,096054,21,33,07,01,27," ",01,07,21,27,33
2007/03/16,096055,26,38,02,18,01," ",01,02,18,26,38
2007/03/19,096056,20,24,39,28,05," ",05,20,24,28,39
2007/03/20,096057,18,22,14,02,10," ",02,10,14,18,22
2007/03/21,096058,37,06,38,34,14," ",06,14,34,37,38
2007/03/22,096059,36,25,07,26,34," ",07,25,26,34,36
2007/03/23,096060,19,32,29,12,20," ",12,19,20,29,32
2007/03/26,096061,32,36,33,26,27," ",26,27,32,33,36
2007/03/27,096062,20,38,11,37,36," ",11,20,36,37,38
2007/03/28,096063,09,28,34,25,37," ",09,25,28,34,37
2007/03/29,096064,27,23,08,29,22," ",08,22,23,27,29
2007/03/30,096065,06,37,22,19,33," ",06,19,22,33,37
2007/04/02,096066,07,01,33,35,21," ",01,07,21,33,35
2007/04/03,096067,29,31,13,10,11," ",10,11,13,29,31
2007/04/04,096068,34,30,01,19,35," ",01,19,30,34,35
2007/04/05,096069,21,22,23,36,07," ",07,21,22,23,36
2007/04/06,096070,04,12,07,33,34," ",04,07,12,33,34
2007/04/09,096071,11,32,30,39,34," ",11,30,32,34,39
2007/04/10,096072,08,09,30,39,06," ",06,08,09,30,39
2007/04/11,096073,39,25,37,26,31," ",25,26,31,37,39
2007/04/12,096074,25,11,01,09,17," ",01,09,11,17,25
2007/04/13,096075,24,37,22,27,32," ",22,24,27,32,37
2007/04/16,096076,14,28,36,18,26," ",14,18,26,28,36
2007/04/17,096077,11,24,32,31,02," ",02,11,24,31,32
2007/04/18,096078,22,39,03,38,12," ",03,12,22,38,39
2007/04/19,096079,22,14,36,01,20," ",01,14,20,22,36
2007/04/20,096080,06,03,22,37,39," ",03,06,22,37,39
2007/04/23,096081,10,07,13,02,30," ",02,07,10,13,30
2007/04/24,096082,09,04,01,16,06," ",01,04,06,09,16
2007/04/25,096083,19,13,15,37,29," ",13,15,19,29,37
2007/04/26,096084,15,05,32,39,07," ",05,07,15,32,39
2007/04/27,096085,21,10,08,23,39," ",08,10,21,23,39
2007/04/30,096086,17,04,29,07,12," ",04,07,12,17,29
2007/05/01,096087,01,34,22,10,39," ",01,10,22,34,39
2007/05/02,096088,37,23,04,34,39," ",04,23,34,37,39
2007/05/03,096089,18,05,37,25,01," ",01,05,18,25,37
2007/05/04,096090,08,09,12,07,14," ",07,08,09,12,14
2007/05/07,096091,09,27,28,18,04," ",04,09,18,27,28
2007/05/08,096092,18,33,23,10,02," ",02,10,18,23,33
2007/05/09,096093,30,03,35,36,15," ",03,15,30,35,36
2007/05/10,096094,25,22,19,14,35," ",14,19,22,25,35
2007/05/11,096095,24,18,21,15,19," ",15,18,19,21,24
2007/05/14,096096,14,10,02,09,39," ",02,09,10,14,39
2007/05/15,096097,11,05,08,23,38," ",05,08,11,23,38
2007/05/16,096098,24,21,18,11,01," ",01,11,18,21,24
2007/05/17,096099,04,33,06,05,13," ",04,05,06,13,33
2007/05/18,096100,06,11,37,15,39," ",06,11,15,37,39
2007/05/21,096101,08,23,15,20,25," ",08,15,20,23,25
2007/05/22,096102,13,18,01,31,32," ",01,13,18,31,32
2007/05/23,096103,29,32,21,08,04," ",04,08,21,29,32
2007/05/24,096104,13,30,07,35,08," ",07,08,13,30,35
2007/05/25,096105,35,04,19,13,23," ",04,13,19,23,35
2007/05/28,096106,10,17,37,05,04," ",04,05,10,17,37
2007/05/29,096107,14,35,29,10,15," ",10,14,15,29,35
2007/05/30,096108,39,05,20,33,38," ",05,20,33,38,39
2007/05/31,096109,38,21,35,33,28," ",21,28,33,35,38
2007/06/01,096110,03,28,13,07,01," ",01,03,07,13,28
2007/06/04,096111,36,13,07,32,04," ",04,07,13,32,36
2007/06/05,096112,35,06,25,08,18," ",06,08,18,25,35
2007/06/06,096113,07,20,33,28,21," ",07,20,21,28,33
2007/06/07,096114,21,07,18,01,19," ",01,07,18,19,21
2007/06/08,096115,37,07,16,10,01," ",01,07,10,16,37
2007/06/11,096116,14,07,29,30,27," ",07,14,27,29,30
